Accession,Title,Technology,Taxonomy,Data Rows,Samples Count,Series Count,Contact,Release Date
GPL26555,Illumina HiSeq 4000 (Triticum polonicum),high-throughput sequencing,Triticum polonicum,0,18,2,GEO,23-Apr-19
GPL26557,Illumina HiSeq 2500 (Pseudomonas aeruginosa PAO1; Pseudomonas virus PA5oct),high-throughput sequencing,Pseudomonas aeruginosa PAO1;Pseudomonas virus PA5oct,0,9,1,GEO,23-Apr-19
GPL26558,Illumina HiSeq 4000 (Schisandra chinensis; Vitis vinifera),high-throughput sequencing,Schisandra chinensis;Vitis vinifera,0,3,1,GEO,23-Apr-19
GPL26559,Illumina HiSeq 2500 (Schisandra chinensis; Vitis vinifera),high-throughput sequencing,Schisandra chinensis;Vitis vinifera,0,3,1,GEO,23-Apr-19
GPL26560,BGISEQ-500 (Drosophila melanogaster),high-throughput sequencing,Drosophila melanogaster,0,191,14,GEO,23-Apr-19
GPL26562,Illumina HiSeq 4000 (Citrullus lanatus),high-throughput sequencing,Citrullus lanatus,0,3,1,GEO,23-Apr-19
GPL26526,Illumina NovaSeq 6000 (synthetic construct),high-throughput sequencing,synthetic construct,0,156,18,GEO,22-Apr-19
GPL26548,Illumina HiSeq 2500 (Hyphopichia burtonii),high-throughput sequencing,Hyphopichia burtonii,0,8,1,GEO,22-Apr-19
GPL26549,Illumina HiSeq 2500 (Hyphopichia pseudoburtonii),high-throughput sequencing,Hyphopichia pseudoburtonii,0,8,1,GEO,22-Apr-19
GPL26551,Illumina NovaSeq 6000 (Neurospora crassa),high-throughput sequencing,Neurospora crassa,0,107,10,GEO,22-Apr-19
GPL26552,Qiagen Human miRNome miScript miRNA PCR Array (MIHS-3216Z),RT-PCR,Homo sapiens,1102,177,5,Patricia Silveyra,22-Apr-19
GPL25308,Microarrays of human nuclear encoded tRNAs,spotted oligonucleotide,Homo sapiens,42,41,1,Irina Chelysheva,20-Apr-19
GPL26524,Illumina HiSeq 3000 (Nezara viridula),high-throughput sequencing,Nezara viridula,0,24,1,GEO,19-Apr-19
GPL26496,NanoString nCounter Mouse Gene Expression Custom Chip MG534,other,Mus musculus,534,10,1,Anja Capell,18-Apr-19
GPL26510,Agilent-084825 Bos taurus_ensembl_201704 Microarray (Probe Name Version),in situ oligonucleotide,Bos taurus,26046,0,0,Chiho Yoshida,18-Apr-19
GPL26519,Illumina HiSeq 2500 (Ogataea parapolymorpha DL-1),high-throughput sequencing,Ogataea parapolymorpha DL-1,0,4,1,GEO,18-Apr-19
GPL26522,MinION (Caenorhabditis elegans),high-throughput sequencing,Caenorhabditis elegans,0,33,6,GEO,18-Apr-19
GPL26523,Illumina NextSeq 500 (Vitis),high-throughput sequencing,Vitis,0,32,1,GEO,18-Apr-19
GPL26511,Infinium Human Exome-12 v1.2 BeadChip,oligonucleotide beads,Homo sapiens,244770,230,1,GEO admin,17-Apr-19
GPL26512,Illumina HiSeq 4000 (Pseudomonas putida),high-throughput sequencing,Pseudomonas putida,0,36,1,GEO,17-Apr-19
GPL26513,Illumina HiSeq 2500 (Streptococcus oralis),high-throughput sequencing,Streptococcus oralis,0,11,1,GEO,17-Apr-19
GPL26514,Illumina NovaSeq 6000 (Sparassis latifolia),high-throughput sequencing,Sparassis latifolia,0,9,1,GEO,17-Apr-19
GPL26515,HiSeq X Ten (Sparassis latifolia),high-throughput sequencing,Sparassis latifolia,0,6,1,GEO,17-Apr-19
GPL26518,Illumina HiSeq 2500 (Fundulus grandis),high-throughput sequencing,Fundulus grandis,0,35,1,GEO,17-Apr-19
GPL26508,BGISEQ-500 (Carex littledalei),high-throughput sequencing,Carex littledalei,0,18,1,GEO,16-Apr-19
GPL26509,Illumina NextSeq 500 (Homo sapiens; Toxoplasma gondii RH),high-throughput sequencing,Homo sapiens;Toxoplasma gondii RH,0,24,1,GEO,16-Apr-19
GPL26505,Illumina NextSeq 500 (Siansivirga zeaxanthinifaciens CC-SAMT-1),high-throughput sequencing,Siansivirga zeaxanthinifaciens CC-SAMT-1,0,8,1,GEO,15-Apr-19
GPL26502,Illumina HiSeq 1000 (Lotus japonicus),high-throughput sequencing,Lotus japonicus,0,14,1,GEO,14-Apr-19
GPL26504,Illumina NovaSeq 6000 (Haemophilus influenzae R2866),high-throughput sequencing,Haemophilus influenzae R2866,0,6,1,GEO,14-Apr-19
GPL26497,Illumina Hiseq 2500 (Gallus gallus),high-throughput sequencing,Gallus gallus,0,2,1,GEO,12-Apr-19
GPL26498,Illumina Hiseq 2500 (Mus musculus),high-throughput sequencing,Mus musculus,0,4,2,GEO,12-Apr-19
GPL26500,Illumina HiSeq 2500 (Citrus sinensis x Citrus trifoliata; Phytophthora parasitica),high-throughput sequencing,Citrus sinensis x Citrus trifoliata;Phytophthora parasitica,0,5,1,GEO,12-Apr-19
GPL26501,Illumina HiSeq 2500 (Citrus sinensis x Citrus trifoliata),high-throughput sequencing,Citrus sinensis x Citrus trifoliata,0,2,1,GEO,12-Apr-19
GPL26488,NextSeq 550 (Glycine max),high-throughput sequencing,Glycine max,0,10,1,GEO,11-Apr-19
GPL26490,Illumina HiSeq 2000 (Myzus persicae),high-throughput sequencing,Myzus persicae,0,45,2,GEO,11-Apr-19
GPL26492,Illumina HiSeq 2500 (Aegilops speltoides),high-throughput sequencing,Aegilops speltoides,0,20,1,GEO,11-Apr-19
GPL26493,Illumina HiSeq 2500 (Triticum turgidum),high-throughput sequencing,Triticum turgidum,0,56,2,GEO,11-Apr-19
GPL26494,Illumina HiSeq 2500 (Aegilops tauschii),high-throughput sequencing,Aegilops tauschii,0,26,2,GEO,11-Apr-19
GPL25001,[Mouse430_2] Affymetrix Mouse Genome 430 2.0 Array [custom CDF],in situ oligonucleotide,Mus musculus,16395,2,1,Jukka Hakkola,10-Apr-19
GPL26474,Agilent-064853 Agilent_Rhesus 026806_and_custom_Cynomolgus genes (8x44k format),in situ oligonucleotide,Macaca mulatta,62976,6,1,Sarah Daud,10-Apr-19
GPL26481,HiSeq X Ten (Papaver somniferum),high-throughput sequencing,Papaver somniferum,0,33,4,GEO,10-Apr-19
GPL26482,Illumina HiSeq 4000 (Bacteroides thetaiotaomicron VPI-5482),high-throughput sequencing,Bacteroides thetaiotaomicron VPI-5482,0,6,1,GEO,10-Apr-19
GPL26483,Illumina NextSeq 500 (Aspidelaps lubricus cowlesi),high-throughput sequencing,Aspidelaps lubricus cowlesi,0,8,1,GEO,10-Apr-19
GPL26484,Illumina HiSeq 2500 (Aspidelaps lubricus cowlesi),high-throughput sequencing,Aspidelaps lubricus cowlesi,0,6,1,GEO,10-Apr-19
GPL26487,Illumina Genome Analyzer II (Dunaliella tertiolecta),high-throughput sequencing,Dunaliella tertiolecta,0,1,1,GEO,10-Apr-19
GPL26475,Illumina NextSeq 500 (Parascaris sp.),high-throughput sequencing,Parascaris sp.,0,10,1,GEO,9-Apr-19
GPL26477,Illumina NextSeq 500 (Listeria monocytogenes),high-throughput sequencing,Listeria monocytogenes,0,99,4,GEO,9-Apr-19
GPL26479,Illumina HiSeq 4000 (Cronobacter sakazakii),high-throughput sequencing,Cronobacter sakazakii,0,14,1,GEO,9-Apr-19
GPL26401,Illumina NextSeq 500 (Labrus bergylta),high-throughput sequencing,Labrus bergylta,0,25,1,GEO,8-Apr-19
GPL26472,Illumina HiSeq 2500 (Kluyveromyces marxianus),high-throughput sequencing,Kluyveromyces marxianus,0,6,1,GEO,8-Apr-19
GPL21700,"Agilent Custom Mouse lncRNA (4*180K, Design ID:049801)",in situ oligonucleotide,Mus musculus,91256,27,4,jing ouyang,7-Apr-19
GPL26395,Agilent-075606 MacFas_Refseq_mRNA_2015,in situ oligonucleotide,Macaca fascicularis,62976,20,1,yoshiyuki ishii,6-Apr-19
GPL26391,Agilent-066316 Rat CpG 2X400K,in situ oligonucleotide,Rattus norvegicus,389347,24,1,Yoon Cho,5-Apr-19
GPL26393,TaqMan Fluidigm 96 dynamic arrays,RT-PCR,Homo sapiens,28,687,1,Sandrine Imbeaud,5-Apr-19
GPL26396,Illumina HiSeq 3000 (Pteropus alecto),high-throughput sequencing,Pteropus alecto,0,65,2,GEO,5-Apr-19
GPL26397,Illumina NextSeq 500 (Sarcophilus harrisii),high-throughput sequencing,Sarcophilus harrisii,0,4,2,GEO,5-Apr-19
GPL26392,Illumina HiSeq 4000 (Escherichia coli W),high-throughput sequencing,Escherichia coli W,0,8,2,GEO,4-Apr-19
GPL26394,Illumina HiSeq 3000 ([Candida] glabrata),high-throughput sequencing,Nakaseomyces glabratus,0,32,4,GEO,4-Apr-19
GPL26355,Agilent-084555 026652QM_RCUG_HomoSapiens (Probe Name Version),in situ oligonucleotide,Homo sapiens,34197,139,12,Oliver Dittrich-Breiholz,3-Apr-19
GPL26382,Illumina NextSeq 500 (Cryptosporidium parvum),high-throughput sequencing,Cryptosporidium parvum,0,24,2,GEO,3-Apr-19
GPL26383,Illumina MiSeq (Cryptosporidium parvum),high-throughput sequencing,Cryptosporidium parvum,0,9,1,GEO,3-Apr-19
GPL26389,Illumina HiSeq 2000 (Pyricularia oryzae),high-throughput sequencing,Pyricularia oryzae,0,13,2,GEO,3-Apr-19
GPL26390,Illumina HiSeq 2000 (Moloney murine leukemia virus),high-throughput sequencing,Moloney murine leukemia virus,0,9,1,GEO,3-Apr-19
GPL26371,Exiqon miRCURY LNA™ microRNA Array [Cat# 208210-A; miRBase v.11.0],spotted oligonucleotide,Homo sapiens;Mus musculus;Rattus norvegicus,2304,29,1,CHAOQUN HUANG,2-Apr-19
GPL26376,Illumina HiSeq 3000 (Eonycteris spelaea),high-throughput sequencing,Eonycteris spelaea,0,6,1,GEO,2-Apr-19
GPL26377,Illumina HiSeq 3000 (Human gammaherpesvirus 4),high-throughput sequencing,Human gammaherpesvirus 4,0,0,0,GEO,2-Apr-19
GPL26378,HiSeq X Ten (Brassica napus),high-throughput sequencing,Brassica napus,0,169,7,GEO,2-Apr-19
GPL26379,Illumina NovaSeq 6000 (Schistosoma mansoni),high-throughput sequencing,Schistosoma mansoni,0,396,2,GEO,2-Apr-19
GPL26380,Illumina HiSeq 2500 (Takifugu fasciatus),high-throughput sequencing,Takifugu fasciatus,0,6,1,GEO,2-Apr-19
GPL26381,NNIIEM_Human_ApoArray_4х2k_v3.0,in situ oligonucleotide,Homo sapiens,1856,124,3,Dmitry Knyazev,2-Apr-19
GPL17381,Agilent-037091 GGA_Campy_FineMapping,in situ oligonucleotide,Gallus gallus,45220,0,0,Jason Abernathy,1-Apr-19
GPL24052,[HG-U219] Affymetrix Human Genome U219 Array [CDF: hgu219hsentrezgaltrabio162802],in situ oligonucleotide,Homo sapiens,24898,17,1,Simon de Bernard,1-Apr-19
GPL24804,Biomark high throughput Human miRNA RT-qPCR assay,RT-PCR,Homo sapiens,50,331,1,SAUMYA Das,1-Apr-19
GPL24844,Taqman Low Density Array (TLDA) Human MicroRNA A Card (Catalog# 4398965),RT-PCR,Homo sapiens,384,9,1,Wilhelm Bertrams,1-Apr-19
GPL24881,Applied Biosystems Megaplex TaqMan Rodent MicroRNA Assay (Rodent Pool A),RT-PCR,Mus musculus,384,18,1,Francesca Ficara,1-Apr-19
GPL25569,Agilent-084141 perche60k [Probe Name version],in situ oligonucleotide,Perca fluviatilis,49042,31,1,Aurelie LE CAM,1-Apr-19
GPL26369,Illumina NextSeq 500 (Lasiodiplodia theobromae; Vitis vinifera),high-throughput sequencing,Lasiodiplodia theobromae;Vitis vinifera,0,12,1,GEO,1-Apr-19
GPL26370,Illumina HiSeq 3000 (Cicer arietinum),high-throughput sequencing,Cicer arietinum,0,12,1,GEO,1-Apr-19
GPL26373,Illumina HiSeq 2500 (Escherichia coli; Pseudomonas phage PP7),high-throughput sequencing,Escherichia coli;Pseudomonas phage PP7,0,32,1,GEO,1-Apr-19
GPL26266,RayBio Mouse Cytokine Antibody Array G-Series 2000,antibody,Mus musculus,0,16,1,Cao Ning,30-Mar-19
GPL26331,Nanostring nCounter mouse gene expression custom codeset N=45,spotted DNA/cDNA,Mus musculus,46,4,1,Luca Gattinoni,29-Mar-19
GPL26365,Illumina HiSeq 2500 (Fragaria vesca),high-throughput sequencing,Fragaria vesca,0,30,2,GEO,29-Mar-19
GPL26367,Illumina HiSeq 2000 (Pongo pygmaeus),high-throughput sequencing,Pongo pygmaeus,0,3,1,GEO,29-Mar-19
GPL26368,Illumina HiSeq 2000 (Gammarus lacustris),high-throughput sequencing,Gammarus lacustris,0,128,4,GEO,29-Mar-19
GPL26354,"miRCURY LNA™ Universal RT microRNA PCR, Ready-to-Use Human Panels I+II V4",RT-PCR,Homo sapiens,768,24,1,Jaroslav Juracek,28-Mar-19
GPL26359,Illumina HiSeq 2000 (Vitis),high-throughput sequencing,Vitis,0,32,1,GEO,28-Mar-19
GPL26360,Illumina NextSeq 500 (Dictyostelium discoideum),high-throughput sequencing,Dictyostelium discoideum,0,357,10,GEO,28-Mar-19
GPL26361,Illumina HiSeq 2500 (Penicillium digitatum),high-throughput sequencing,Penicillium digitatum,0,4,1,GEO,28-Mar-19
GPL26362,Illumina HiSeq 4000 (Chlamydomonas reinhardtii),high-throughput sequencing,Chlamydomonas reinhardtii,0,130,4,GEO,28-Mar-19
GPL26363,HiSeq X Ten (Homo sapiens; Mus musculus),high-throughput sequencing,Homo sapiens;Mus musculus,0,48,8,GEO,28-Mar-19
GPL26364,Illumina HiSeq 4000 (Sebastes mystinus),high-throughput sequencing,Sebastes mystinus,0,44,1,GEO,28-Mar-19
GPL26351,Illumina NovaSeq 6000 (Sus scrofa),high-throughput sequencing,Sus scrofa,0,1184,95,GEO,27-Mar-19
GPL26352,GridION (Arabidopsis thaliana),high-throughput sequencing,Arabidopsis thaliana,0,3,1,GEO,27-Mar-19
GPL26353,Illumina HiSeq 4000 (Pan paniscus),high-throughput sequencing,Pan paniscus,0,102,3,GEO,27-Mar-19
GPL26356,"[Clariom_D_Human] Affymetrix Human Clariom D Assay [transcript (gene) version] [CDF: ClariomDHuman_Hs_ENTREZG, v21]",in situ oligonucleotide,Homo sapiens,39337,41,4,GEO admin,27-Mar-19
GPL26357,454 GS FLX Titanium (rat gut metagenome),high-throughput sequencing,rat gut metagenome,0,32,1,GEO,27-Mar-19
GPL26358,454 GS FLX Titanium (mouse gut metagenome),high-throughput sequencing,mouse gut metagenome,0,18,1,GEO,27-Mar-19
GPL25703,Agilent-084494 Physcomitrella patens custom microarray (Ppatens-organella3),in situ oligonucleotide,Physcomitrium patens,15744,8,2,Chieko Sugita,26-Mar-19
GPL26345,Agilent-070695 P. salmonis Univ Chile,in situ oligonucleotide,Piscirickettsia salmonis,15744,3,1,Rodrigo Pulgar,26-Mar-19
GPL26348,Illumina NextSeq 500 (Coffea canephora),high-throughput sequencing,Coffea canephora,0,12,1,GEO,26-Mar-19
GPL26349,Illumina HiSeq 2500 (Porphyromonas gingivalis 381),high-throughput sequencing,Porphyromonas gingivalis 381,0,3,1,GEO,26-Mar-19
GPL26337,Ion Torrent Proton (Thioalkalivibrio thiocyanoxidans ARh2),high-throughput sequencing,Thioalkalivibrio thiocyanoxidans ARh2,0,6,1,GEO,25-Mar-19
GPL26339,Ion Torrent Proton (Thioalkalivibrio jannaschii),high-throughput sequencing,Thioalkalivibrio jannaschii,0,9,1,GEO,25-Mar-19
GPL26340,Illumina HiSeq 4000 (Juglans cathayensis),high-throughput sequencing,Juglans cathayensis,0,6,1,GEO,25-Mar-19
GPL26341,NanoString nCounter Human miRGE Expression Assay Custom CodeSet [lungmap],other,Mus musculus,626,23,3,Ravi Mathur,25-Mar-19
GPL26342,Illumina HiSeq 2500 (Pseudomonas aeruginosa; Pseudomonas phage phiYY),high-throughput sequencing,Pseudomonas aeruginosa;Pseudomonas phage phiYY,0,9,1,GEO,25-Mar-19
GPL26343,Illumina NextSeq 500 (Escherichia coli BW25113),high-throughput sequencing,Escherichia coli BW25113,0,44,3,GEO,25-Mar-19
GPL26344,HiSeq X Ten (Curvularia lunata),high-throughput sequencing,Curvularia lunata,0,2,1,GEO,25-Mar-19
GPL21629,MYcroarray Streptococcus pneumoniae D39 6X7K oligo array,spotted oligonucleotide,Streptococcus pneumoniae D39,1883,6,1,Sang-Sang Park,23-Mar-19
GPL26132,Illumina HiSeq 2000 (Homo sapiens; Human alphaherpesvirus 3),high-throughput sequencing,Homo sapiens;Human alphaherpesvirus 3,0,24,1,GEO,22-Mar-19
GPL26335,Exiqon miRCURY LNA Universal RT microRNA PCR Human Panel I+II,RT-PCR,Homo sapiens,659,77,2,Judit Bassols,22-Mar-19
GPL26336,Illumina HiSeq 4000 (Equus asinus),high-throughput sequencing,Equus asinus,0,12,1,GEO,22-Mar-19
GPL26330,Illumina HiSeq 4000 (Hyriopsis cumingii),high-throughput sequencing,Hyriopsis cumingii,0,2,1,GEO,21-Mar-19
GPL26332,Illumina HiSeq 3000 (Solanum pennellii),high-throughput sequencing,Solanum pennellii,0,43,1,GEO,21-Mar-19
GPL26333,Illumina NextSeq 500 (Solanum pennellii),high-throughput sequencing,Solanum pennellii,0,10,1,GEO,21-Mar-19
GPL26326,Illumina HiSeq 2500 (Carica papaya),high-throughput sequencing,Carica papaya,0,78,4,GEO,20-Mar-19
GPL26327,Illumina NextSeq 500 (Trichoderma reesei QM6a),high-throughput sequencing,Trichoderma reesei QM6a,0,6,1,GEO,20-Mar-19
GPL26328,MinION (Murine respirovirus),high-throughput sequencing,Murine respirovirus,0,7,1,GEO,20-Mar-19
GPL26329,MinION (Mumps rubulavirus),high-throughput sequencing,Mumps orthorubulavirus,0,7,1,GEO,20-Mar-19
GPL25621,mouse exonic evidence-based oligonucleotide (MEEBO) microarray [34288 probes],spotted oligonucleotide,Mus musculus,34288,24,4,Dmitry Ivanov,19-Mar-19
GPL26325,Illumina HiSeq 4000 (Dirofilaria repens),high-throughput sequencing,Dirofilaria repens,0,6,1,GEO,19-Mar-19
GPL26317,Illumina NextSeq 500 (Asparagus officinalis),high-throughput sequencing,Asparagus officinalis,0,13,1,GEO,18-Mar-19
GPL26318,Illumina NextSeq 500 (Phaseolus vulgaris),high-throughput sequencing,Phaseolus vulgaris,0,49,2,GEO,18-Mar-19
GPL26319,Illumina NextSeq 500 (Spirodela polyrhiza),high-throughput sequencing,Spirodela polyrhiza,0,17,2,GEO,18-Mar-19
GPL26320,Illumina NextSeq 500 (Hordeum vulgare),high-throughput sequencing,Hordeum vulgare,0,52,4,GEO,18-Mar-19
GPL26321,Illumina NextSeq 500 (Setaria viridis),high-throughput sequencing,Setaria viridis,0,13,1,GEO,18-Mar-19
GPL26322,Illumina NextSeq 500 (Populus trichocarpa),high-throughput sequencing,Populus trichocarpa,0,115,8,GEO,18-Mar-19
GPL26324,Illumina HiSeq 2000 (Glycyrrhiza uralensis),high-throughput sequencing,Glycyrrhiza uralensis,0,6,1,GEO,18-Mar-19
GPL26309,Illumina Equine SNP70 Bead Array (Neogen GGP Equine70k),oligonucleotide beads,Equus caballus,0,312,4,Hongying Ma,16-Mar-19
GPL26312,Illumina HiSeq 1500 (Solanum lycopersicum x Solanum pennellii),high-throughput sequencing,Solanum lycopersicum x Solanum pennellii,0,6,1,GEO,16-Mar-19
GPL26313,Illumina HiSeq 1500 (Solanum lycopersicum),high-throughput sequencing,Solanum lycopersicum,0,9,2,GEO,16-Mar-19
GPL26314,Illumina MiSeq (Mycolicibacterium smegmatis),high-throughput sequencing,Mycolicibacterium smegmatis,0,20,3,GEO,16-Mar-19
GPL26307,Illumina HiSeq 2000 (Apis mellifera; Nosema ceranae),high-throughput sequencing,Apis mellifera;Nosema ceranae,0,6,1,GEO,15-Mar-19
GPL26308,Illumina Genome Analyzer (Streptococcus pneumoniae),high-throughput sequencing,Streptococcus pneumoniae,0,18,1,GEO,15-Mar-19
GPL26310,Illumina HiSeq 2500 (Metschnikowia pulcherrima),high-throughput sequencing,Metschnikowia pulcherrima,0,5,1,GEO,15-Mar-19
GPL26311,Illumina Genome Analyzer IIx (Schistocerca gregaria),high-throughput sequencing,Schistocerca gregaria,0,2,1,GEO,15-Mar-19
GPL26302,NextSeq 550 (Saccharomyces cerevisiae),high-throughput sequencing,Saccharomyces cerevisiae,0,1175,38,GEO,14-Mar-19
GPL26303,Illumina HiSeq 2000 (Homo sapiens; Human alphaherpesvirus 1 strain 17),high-throughput sequencing,Homo sapiens;Human alphaherpesvirus 1 strain 17,0,16,3,GEO,14-Mar-19
GPL26306,Illumina NextSeq 500 (Homo sapiens; Human alphaherpesvirus 1 strain 17),high-throughput sequencing,Homo sapiens;Human alphaherpesvirus 1 strain 17,0,4,2,GEO,14-Mar-19
GPL26118,Agilent-070006 Bacillus subtilis arrau (Bsubt168.sept2014),in situ oligonucleotide,Bacillus subtilis,15744,16,1,Anne de Jong,13-Mar-19
GPL26293,Illumina HiSeq 2000 (Streptomyces clavuligerus ATCC 27064),high-throughput sequencing,Streptomyces clavuligerus,0,20,1,GEO,13-Mar-19
GPL26294,Illumina HiSeq 4000 (Pyricularia oryzae),high-throughput sequencing,Pyricularia oryzae,0,66,2,GEO,13-Mar-19
GPL26296,Illumina MiniSeq (Saccharomyces cerevisiae; Schizosaccharomyces pombe),high-throughput sequencing,Saccharomyces cerevisiae;Schizosaccharomyces pombe,0,42,7,GEO,13-Mar-19
GPL26298,Illumina HiSeq 2500 (Escherichia coli K-12; Pseudomonas putida KT2440),high-throughput sequencing,Escherichia coli K-12;Pseudomonas putida KT2440,0,9,1,GEO,13-Mar-19
GPL26301,Illumina HiSeq 4000 (Chenopodium quinoa),high-throughput sequencing,Chenopodium quinoa,0,45,3,GEO,13-Mar-19
GPL25788,Exiqon miRCURY LNA Human Serum/Plasma Focus miRNA PCR Panel (V4),RT-PCR,Homo sapiens,112,12,1,Raul Teruel-Montoya,12-Mar-19
GPL26288,Illumina HiSeq 3000 (Prunus persica),high-throughput sequencing,Prunus persica,0,16,1,GEO,12-Mar-19
GPL26291,Illumina HiSeq 2500 (Entamoeba histolytica HM-1:IMSS; Homo sapiens),high-throughput sequencing,Entamoeba histolytica HM-1:IMSS;Homo sapiens,0,3,1,GEO,12-Mar-19
GPL26278,Nimblegen 150402_UniProt_16mer_v2_PEP_PX1,spotted peptide or protein,Homo sapiens,0,174,1,Yuanqing Yan,11-Mar-19
GPL26279,Illumina HiSeq 2500 (Erwinia amylovora),high-throughput sequencing,Erwinia amylovora,0,21,3,GEO,11-Mar-19
GPL26280,Illumina HiSeq 3000 (Macaca fascicularis; Plasmodium knowlesi),high-throughput sequencing,Macaca fascicularis;Plasmodium knowlesi,0,109,2,GEO,11-Mar-19
GPL26281,Illumina NovaSeq 6000 (Phascolarctos cinereus),high-throughput sequencing,Phascolarctos cinereus,0,15,2,GEO,11-Mar-19
GPL26282,Illumina HiSeq 4000 (Phascolarctos cinereus),high-throughput sequencing,Phascolarctos cinereus,0,5,1,GEO,11-Mar-19
GPL26283,Illumina HiSeq 2500 (Trematomus bernacchii),high-throughput sequencing,Trematomus bernacchii,0,24,1,GEO,11-Mar-19
GPL26285,BGISEQ-500 (Sus scrofa),high-throughput sequencing,Sus scrofa,0,102,8,GEO,11-Mar-19
GPL26286,Illumina NextSeq 500 (Anolis sagrei),high-throughput sequencing,Anolis sagrei,0,25,2,GEO,11-Mar-19
GPL26269,Illumina NextSeq 500 (Pinus densiflora; Tricholoma matsutake),high-throughput sequencing,Pinus densiflora;Tricholoma matsutake,0,3,1,GEO,8-Mar-19
GPL26270,Illumina NextSeq 500 (Tricholoma matsutake),high-throughput sequencing,Tricholoma matsutake,0,6,1,GEO,8-Mar-19
GPL26271,Illumina NextSeq 500 (Pinus densiflora),high-throughput sequencing,Pinus densiflora,0,3,1,GEO,8-Mar-19
